name,vsini,ror,b,ref_link
name,pl_imppar,pl_ratror,st_vsin,https://exoplanetarchive.ipac.caltech.edu/overview/name
EPIC 220492298 b,,0.01,,https://exoplanetarchive.ipac.caltech.edu/overview/EPIC%20220492298%20b
K2-290 b,0.438,0.019,6.5,https://exoplanetarchive.ipac.caltech.edu/overview/K2-290%20b
K2-138 g,0.558,0.03187,2.7,https://exoplanetarchive.ipac.caltech.edu/overview/K2-138%20g
K2-140 b,0.42,0.117,3.6,https://exoplanetarchive.ipac.caltech.edu/overview/K2-140%20b
K2-141 c,,0.094,3.0,https://exoplanetarchive.ipac.caltech.edu/overview/K2-141%20c
K2-141 b,-0.01,0.02088,3.0,https://exoplanetarchive.ipac.caltech.edu/overview/K2-141%20b
TOI-3364 b,0.22,,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-3364%20b
KMT-2016-BLG-2605L b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/KMT-2016-BLG-2605L%20b
24 Sex b,,,2.77,https://exoplanetarchive.ipac.caltech.edu/overview/24%20Sex%20b
24 Sex c,,,2.77,https://exoplanetarchive.ipac.caltech.edu/overview/24%20Sex%20c
DENIS-P J082303.1-491201 b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/DENIS-P%20J082303.1-491201%20b
HIP 63242 b,,,3.7,https://exoplanetarchive.ipac.caltech.edu/overview/HIP%2063242%20b
TOI-1723 b,0.352837,0.02869,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1723%20b
TOI-1742 b,0.264781,0.01917103,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1742%20b
TOI-1716.01,,0.0232,,https://exofop.ipac.caltech.edu/tess/target.php?id=14336130
2MASS J01225093-2439505 b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/2MASS%20J01225093-2439505%20b
RR Cae b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/RR%20Cae%20b
HAT-P-44 b,0.172,0.1343,0.2,https://exoplanetarchive.ipac.caltech.edu/overview/HAT-P-44%20b
K2-288 B b,0.37,0.049,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-288%20B%20b
K2-243 c,0.4,0.0133,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-243%20c
EPIC 206024342 c,0.96,0.0117,,https://exoplanetarchive.ipac.caltech.edu/overview/EPIC%20206024342%20c
HATS-43 b,0.172,0.1492,1.11,https://exoplanetarchive.ipac.caltech.edu/overview/HATS-43%20b
HATS-45 b,0.689,0.1004,9.9,https://exoplanetarchive.ipac.caltech.edu/overview/HATS-45%20b
Kepler-11 e,0.763,0.03643,0.4,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-11%20e
Kepler-161 c,0.2,0.024226,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-161%20c
Kepler-176 c,0.47,0.027597,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-176%20c
Kepler-1972 c,0.81,0.00575,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1972%20c
HR 858 b,0.587,0.0146,7.5,https://exoplanetarchive.ipac.caltech.edu/overview/HR%20858%20b
WASP-127 b,0.29,0.10103,0.3,https://exoplanetarchive.ipac.caltech.edu/overview/WASP-127%20b
WASP-136 b,0.59,0.0682,12.2,https://exoplanetarchive.ipac.caltech.edu/overview/WASP-136%20b
LHS 1140 c,0.09,0.05486,,https://exoplanetarchive.ipac.caltech.edu/overview/LHS%201140%20c
TOI-178 e,0.583,0.0311,1.5,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-178%20e
CoRoT-8 b,0.49,0.075,2.0,https://exoplanetarchive.ipac.caltech.edu/overview/CoRoT-8%20b
K2-261 b,0.29,0.05274,1.3,https://exoplanetarchive.ipac.caltech.edu/overview/K2-261%20b
K2-266 c,0.6,0.0092,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-266%20c
K2-114 b,0.378,0.1167,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-114%20b
K2-308 b,0.21,0.0742,29.0,https://exoplanetarchive.ipac.caltech.edu/overview/K2-308%20b
TOI-2420 b,0.849,0.0581,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-2420%20b
TOI-2537 b,0.48,0.1338,3.0,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-2537%20b
TOI-2580 b,,,7.4,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-2580%20b
WASP-116 b,0.07,0.0881,,https://exoplanetarchive.ipac.caltech.edu/overview/WASP-116%20b
WASP-155 b,0.43,0.0997,,https://exoplanetarchive.ipac.caltech.edu/overview/WASP-155%20b
2MASS J19383260+4603591 b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/2MASS%20J19383260+4603591%20b
HD 134606 e,,,1.3,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20134606%20e
TOI-3807 b,1.0,,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-3807%20b
TOI-2525 b,,0.1013,1.5,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-2525%20b
HATS-11 b,0.14,0.1071,3.8,https://exoplanetarchive.ipac.caltech.edu/overview/HATS-11%20b
HATS-36 b,0.17,0.1077,4.98,https://exoplanetarchive.ipac.caltech.edu/overview/HATS-36%20b
HATS-9 b,0.16,0.0814,4.58,https://exoplanetarchive.ipac.caltech.edu/overview/HATS-9%20b
HD 188641 b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20188641%20b
WASP-36 b,0.657,0.13677,3.3,https://exoplanetarchive.ipac.caltech.edu/overview/WASP-36%20b
K2-3 b,0.31,0.0349,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-3%20b
K2-348 c,0.43,0.0287,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-348%20c
K2-43 b,0.11,0.04298,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-43%20b
K2-77 b,0.55,0.0288,4.0,https://exoplanetarchive.ipac.caltech.edu/overview/K2-77%20b
