name,vsini,ror,b,ref_link
name,pl_imppar,pl_ratror,st_vsin,https://exoplanetarchive.ipac.caltech.edu/overview/name
Kepler-115 b,0.43,0.008435,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-115%20b
Kepler-140 b,0.05,0.011619,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-140%20b
Kepler-313 b,0.02,0.015631,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-313%20b
Kepler-864 c,0.55,0.01238,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-864%20c
Kepler-348 b,0.05,0.010307,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-348%20b
HD 89345 b,0.645,0.0389,0.58,https://exoplanetarchive.ipac.caltech.edu/overview/HD%2089345%20b
KOI-94 d,0.055,0.068016,7.3,https://exoplanetarchive.ipac.caltech.edu/overview/KOI-94%20d
Kepler-161 b,0.02,0.024565,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-161%20b
Kepler-1234 b,0.965,0.033958,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1234%20b
Kepler-48 f,,,0.5,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-48%20f
Kepler-275 d,0.73,0.022012,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-275%20d
Kepler-274 b,0.2,0.016363,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-274%20b
Kepler-679 b,0.8214,0.032709,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-679%20b
Kepler-348 c,0.62,0.00827,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-348%20c
Kepler-1542 d,0.2262,0.007947,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1542%20d
Kepler-1477 b,0.2609,0.014364,3.3,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1477%20b
Kepler-40 b,0.045,0.0565,9.0,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-40%20b
Kepler-1966 b,0.3399,0.011203,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1966%20b
Kepler-336 b,0.06,0.007715,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-336%20b
Kepler-196 c,0.09,0.026097,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-196%20c
Kepler-326 d,0.22,0.013944,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-326%20d
Kepler-1790 b,0.194,0.017976,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1790%20b
Kepler-682 b,0.5409,0.07636,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-682%20b
Kepler-444 b,0.4,0.00491,2.0,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-444%20b
Kepler-1641 c,0.007,0.023309,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1641%20c
Kepler-351 c,0.21,0.035516,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-351%20c
Kepler-880 c,0.905,0.010108,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-880%20c
K2-268 f,0.39,0.0259,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-268%20f
TOI-5713 b,0.44,0.0541,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-5713%20b
TOI-178 c,0.34,0.0235,1.5,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-178%20c
TOI-2018 b,0.546,0.0335,2.0,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-2018%20b
Kepler-286 c,0.2,0.014856,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-286%20c
Kepler-1653 b,0.52,0.0286,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1653%20b
Kepler-1147 b,0.876,0.020749,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1147%20b
Kepler-226 d,0.06,0.013127,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-226%20d
Kepler-1266 b,0.87,0.031407,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1266%20b
Kepler-1398 b,0.058,0.007194,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1398%20b
Kepler-845 b,0.29,0.024503,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-845%20b
TOI-1386 b,0.293789,0.05568461,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1386%20b
HAT-P-68 b,0.212,0.1644,0.0,https://exoplanetarchive.ipac.caltech.edu/overview/HAT-P-68%20b
Kepler-1108 b,0.1523,0.015817,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1108%20b
Kepler-1242 b,0.2355,0.027952,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1242%20b
Kepler-344 b,0.29,0.0246,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-344%20b
Kepler-138 b,0.7,0.0108,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-138%20b
Kepler-1381 b,0.1228,0.022195,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1381%20b
Kepler-1272 b,0.926,0.019906,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1272%20b
Kepler-154 b,0.37,0.022276,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-154%20b
KMT-2021-BLG-1303L b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/KMT-2021-BLG-1303L%20b
Kepler-946 b,0.034,0.018966,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-946%20b
Kepler-1087 b,0.693,0.00646,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1087%20b
Kepler-175 b,0.09,0.023415,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-175%20b
Kepler-1254 c,0.395,0.015976,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1254%20c
Kepler-1988 b,0.911,0.007853,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1988%20b
Kepler-223 d,0.527,0.025359,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-223%20d
Kepler-124 b,0.14,0.011207,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-124%20b
Kepler-368 c,0.46,0.017382,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-368%20c
Kepler-286 e,0.64,0.018086,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-286%20e
Kepler-763 b,0.2353,0.014061,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-763%20b
Kepler-1054 b,0.58,0.017716,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1054%20b
Kepler-101 c,0.75,0.00732,2.6,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-101%20c
Kepler-172 b,0.14,0.020115,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-172%20b
HD 156668 c,,,0.5,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20156668%20c
K2-205 b,,0.016978,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-205%20b
K2-209 b,,0.011177,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-209%20b
K2-213 b,,0.011526,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-213%20b
HIP 38594 c,,,,https://exoplanetarchive.ipac.caltech.edu/overview/HIP%2038594%20c
CoRoT-35 b,0.58,,8.8,https://exoplanetarchive.ipac.caltech.edu/overview/CoRoT-35%20b
Kepler-230 b,0.91,0.03852,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-230%20b
Kepler-822 b,0.0347,0.014501,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-822%20b
KOI-7368 b,0.508,0.023,,https://exoplanetarchive.ipac.caltech.edu/overview/KOI-7368%20b
Kepler-1487 b,0.112,0.011907,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1487%20b
Kepler-204 b,0.57,0.0191,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-204%20b
Kepler-103 b,0.72,0.02224,2.5,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-103%20b
Kepler-1876 b,0.063,0.005296,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1876%20b
Kepler-1934 b,0.6002,0.007307,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1934%20b
Kepler-1344 b,0.04,0.014656,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1344%20b
Kepler-1673 b,0.078,0.023154,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1673%20b
Kepler-1052 b,0.77,0.026443,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1052%20b
Kepler-770 b,0.826,0.023478,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-770%20b
Kepler-1335 b,0.232,0.018068,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1335%20b
Kepler-1311 b,0.0835,0.007857,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1311%20b
Kepler-106 e,0.28,0.022676,0.3,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-106%20e
Kepler-630 b,0.882,0.027957,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-630%20b
Kepler-801 b,0.799,0.028926,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-801%20b
Kepler-391 b,0.38,0.00819,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-391%20b
Kepler-263 c,0.06,0.028129,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-263%20c
Kepler-1035 b,0.0953,0.011228,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1035%20b
Kepler-1743 b,0.571,0.00731,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1743%20b
Kepler-1003 b,0.331,0.014325,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1003%20b
Kepler-244 c,0.49,0.022847,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-244%20c
Kepler-959 b,0.9705,0.02044,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-959%20b
BD+45 564 b,,,2.0,https://exoplanetarchive.ipac.caltech.edu/overview/BD+45%20564%20b
Kepler-1478 b,0.1509,0.015391,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1478%20b
KOI-984 b,0.83,0.029232,,https://exoplanetarchive.ipac.caltech.edu/overview/KOI-984%20b
KIC 10068024 b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/KIC%2010068024%20b
Kepler-1097 b,0.2898,0.037919,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1097%20b
Kepler-1043 b,0.654,0.026358,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1043%20b
Kepler-546 b,0.5,0.056443,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-546%20b
Kepler-205 b,0.87,0.0243,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-205%20b
Kepler-1689 b,0.0558,0.007876,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1689%20b
Kepler-1881 b,0.77,0.028604,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1881%20b
Kepler-30 b,0.38,0.0351,1.94,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-30%20b
Kepler-1494 b,0.8866,0.030375,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1494%20b
Kepler-1670 b,0.887,0.021292,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1670%20b
Kepler-1201 b,0.76,0.017486,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1201%20b
K2-188 b,0.4,0.0104,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-188%20b
Kepler-335 b,0.83,0.01566,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-335%20b
Kepler-1950 b,0.069,0.01139,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1950%20b
Kepler-1062 b,0.2185,0.022779,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1062%20b
Kepler-1738 b,0.0562,0.021324,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1738%20b
Kepler-639 b,0.8859,0.016734,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-639%20b
Kepler-1857 b,0.0362,0.013638,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1857%20b
Kepler-1339 b,0.059,0.007001,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1339%20b
K2-158 b,0.38,0.0255,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-158%20b
K2-163 b,,0.029663,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-163%20b
K2-187 d,0.41,0.0259,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-187%20d
K2-190 b,0.141,0.013636,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-190%20b
Kepler-593 b,0.841,0.023639,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-593%20b
Kepler-46 c,1.483,,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-46%20c
Kepler-1773 b,0.958,0.019279,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1773%20b
Kepler-1446 b,0.119,0.009762,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1446%20b
Kepler-174 d,0.09,0.032383,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-174%20d
Kepler-1264 b,0.3216,0.010509,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1264%20b
Kepler-1483 b,0.143,0.009683,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1483%20b
Kepler-165 b,0.78,0.029839,0.2,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-165%20b
55 Cnc b,,,1.23,https://exoplanetarchive.ipac.caltech.edu/overview/55%20Cnc%20b
55 Cnc e,0.39,0.0182,1.23,https://exoplanetarchive.ipac.caltech.edu/overview/55%20Cnc%20e
G 261-6 b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/G%20261-6%20b
GJ 486 b,0.12,0.037244,2.0,https://exoplanetarchive.ipac.caltech.edu/overview/GJ%20486%20b
K2-201 b,,0.014617,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-201%20b
K2-16 b,0.68,0.02796,2.0,https://exoplanetarchive.ipac.caltech.edu/overview/K2-16%20b
K2-202 b,,0.023171,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-202%20b
K2-186 b,,0.02965,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-186%20b
Kepler-47 d,,0.06873,4.1,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-47%20d
Kepler-1118 b,0.79,0.025633,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1118%20b
Kepler-937 c,0.261,0.020405,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-937%20c
KIC 5437945 b,0.212,0.047,,https://exoplanetarchive.ipac.caltech.edu/overview/KIC%205437945%20b
Kepler-1560 b,0.287,0.008419,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1560%20b
Kepler-82 e,0.0,0.025211,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-82%20e
GJ 3998 d,,,0.93,https://exoplanetarchive.ipac.caltech.edu/overview/GJ%203998%20d
Kepler-114 c,0.65,0.021784,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-114%20c
Kepler-1459 b,0.1345,0.016661,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1459%20b
Kepler-1044 b,0.946,0.02196,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1044%20b
Kepler-882 b,0.085,0.012629,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-882%20b
Kepler-1782 b,0.9274,0.027905,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1782%20b
Kepler-284 b,0.24,0.027024,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-284%20b
Kepler-254 c,0.05,0.023578,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-254%20c
Kepler-111 b,0.01,0.01179,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-111%20b
KOI-351 c,0.09,0.0091,4.6,https://exoplanetarchive.ipac.caltech.edu/overview/KOI-351%20c
KOI-351 h,0.36,0.0866,4.6,https://exoplanetarchive.ipac.caltech.edu/overview/KOI-351%20h
Kepler-418 c,0.885,0.04552,3.5,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-418%20c
K2-165 b,,0.014535,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-165%20b
LHS 1478 b,0.717,0.0462,2.0,https://exoplanetarchive.ipac.caltech.edu/overview/LHS%201478%20b
TOI-763 b,0.51,0.023,1.7,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-763%20b
HD 28109 b,0.8007,0.01441,7.7,https://exoplanetarchive.ipac.caltech.edu/overview/HD%2028109%20b
Kepler-968 b,0.2074,0.025522,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-968%20b
Kepler-169 d,0.04,0.01846,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-169%20d
Kepler-312 c,0.18,0.02193,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-312%20c
Kepler-1163 b,0.764,0.007258,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1163%20b
Kepler-557 b,0.601,0.021248,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-557%20b
Kepler-200 b,0.93,0.0182,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-200%20b
Kepler-1572 b,0.1232,0.008754,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1572%20b
Kepler-716 b,0.537,0.033999,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-716%20b
Kepler-1253 b,0.241,0.011343,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1253%20b
Kepler-62 d,0.22,0.0278,0.4,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-62%20d
Kepler-1392 b,0.1012,0.021085,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1392%20b
Kepler-650 b,0.843,0.020314,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-650%20b
Kepler-1400 b,0.3314,0.018897,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1400%20b
Kepler-1211 b,0.883,0.025462,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1211%20b
Kepler-132 b,0.26,0.01087,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-132%20b
TOI-1739 b,0.41,0.0226,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1739%20b
Kepler-1752 b,0.906,0.056204,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1752%20b
Kepler-1470 b,0.2499,0.013391,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1470%20b
Kepler-10 d,,,2.04,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-10%20d
Kepler-1268 b,0.1111,0.017123,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1268%20b
Kepler-970 b,0.7,0.0337,5.2,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-970%20b
Kepler-1196 b,0.0978,0.021203,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1196%20b
Kepler-1236 b,0.335,0.023593,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1236%20b
Kepler-1715 b,0.41,0.02393,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1715%20b
HD 213885 b,0.675,0.01453,3.0,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20213885%20b
TOI-672 b,0.424,0.0885,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-672%20b
TOI-2096 c,0.28,0.0747,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-2096%20c
TOI-198 b,0.094,0.0299,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-198%20b
Kepler-977 b,0.01,0.029126,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-977%20b
Kepler-1083 b,0.913,0.039524,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1083%20b
Kepler-559 b,0.106,0.034719,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-559%20b
Kepler-1603 b,0.2925,0.008725,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1603%20b
Kepler-1245 c,0.0999,0.016491,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1245%20c
Kepler-1204 b,0.797,0.026705,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1204%20b
Kepler-1834 c,0.388,0.014221,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1834%20c
Kepler-550 b,0.0265,0.048662,4.1,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-550%20b
Kepler-587 b,0.5044,0.022652,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-587%20b
Kepler-188 b,0.18,0.013746,6.3,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-188%20b
Kepler-167 b,0.41,0.02036,2.0,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-167%20b
Kepler-1671 b,0.83,0.011755,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1671%20b
Kepler-953 c,0.3443,0.01065,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-953%20c
TOI-1279 b,0.497766,0.02895831,,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1279%20b
Kepler-222 d,0.44,0.040725,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-222%20d
Kepler-428 b,0.13,0.1384,2.0,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-428%20b
Kepler-1666 b,0.56,0.021322,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1666%20b
Kepler-1766 b,0.6112,0.01619,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1766%20b
Kepler-179 b,0.57,0.018704,3.0,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-179%20b
Kepler-1745 b,0.0297,0.01382,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1745%20b
Kepler-865 c,0.272,0.009191,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-865%20c
Kepler-672 b,0.162,0.025457,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-672%20b
Kepler-257 d,0.13,0.0519,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-257%20d
Kepler-129 c,0.61,0.013819,2.13,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-129%20c
Kepler-1388 c,0.1665,0.034296,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1388%20c
Kepler-1388 e,0.2955,0.036595,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1388%20e
Kepler-1389 b,0.947,0.021527,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1389%20b
Kepler-1128 b,0.091,0.036584,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1128%20b
Kepler-1015 b,0.853,0.017684,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1015%20b
Kepler-1655 b,0.88,0.017014,3.5,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1655%20b
Kepler-1832 b,0.98,0.012262,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1832%20b
Kepler-1666 c,0.6,0.023993,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1666%20c
Kepler-1691 b,0.368,0.013198,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1691%20b
Kepler-233 b,0.08,0.030119,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-233%20b
K2-270 b,0.42,0.0164,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-270%20b
Qatar-4 b,0.31,0.1379,7.1,https://exoplanetarchive.ipac.caltech.edu/overview/Qatar-4%20b
TOI-451 b,0.22,0.0199,7.9,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-451%20b
TOI-2416 b,,0.0732,2.4,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-2416%20b
WASP-41 c,,,2.64,https://exoplanetarchive.ipac.caltech.edu/overview/WASP-41%20c
Kepler-1823 b,0.0629,0.012851,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1823%20b
HD 164509 b,,,2.4,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20164509%20b
CoRoT-7 b,0.713,0.0187,3.5,https://exoplanetarchive.ipac.caltech.edu/overview/CoRoT-7%20b
BD-210397 b,,,1.0,https://exoplanetarchive.ipac.caltech.edu/overview/BD-210397%20b
GJ 9404 b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/GJ%209404%20b
HATS-55 b,0.662,0.1141,5.01,https://exoplanetarchive.ipac.caltech.edu/overview/HATS-55%20b
Kepler-770 d,0.71,0.013918,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-770%20d
EPIC 212297394 b,0.41,0.0169,,https://exoplanetarchive.ipac.caltech.edu/overview/EPIC%20212297394%20b
Kepler-122 e,0.84,0.018389,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-122%20e
Kepler-154 d,0.47,0.036181,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-154%20d
Kepler-529 b,0.766,0.015484,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-529%20b
GJ 357 c,,,2.0,https://exoplanetarchive.ipac.caltech.edu/overview/GJ%20357%20c
HIP 99770 b,,,65.0,https://exoplanetarchive.ipac.caltech.edu/overview/HIP%2099770%20b
KMT-2021-BLG-2478L b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/KMT-2021-BLG-2478L%20b
KIC 10525077 b,,0.05,,https://exoplanetarchive.ipac.caltech.edu/overview/KIC%2010525077%20b
Kepler-1996 c,0.857,0.038187,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1996%20c
Kepler-20 e,0.63,0.00822,0.4,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-20%20e
GJ 436 b,0.736,0.0822,0.33,https://exoplanetarchive.ipac.caltech.edu/overview/GJ%20436%20b
TOI-1266 b,0.549,0.0545,1.3,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1266%20b
TOI-1266 d,,,1.3,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1266%20d
HATS-26 b,0.33,0.0879,7.48,https://exoplanetarchive.ipac.caltech.edu/overview/HATS-26%20b
HD 17674 b,,,2.3,https://exoplanetarchive.ipac.caltech.edu/overview/HD%2017674%20b
HD 177830 c,,,0.68,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20177830%20c
HD 179079 b,,,1.0,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20179079%20b
51 Eri b,,,65.19,https://exoplanetarchive.ipac.caltech.edu/overview/51%20Eri%20b
WASP-102 b,0.11,0.0997,,https://exoplanetarchive.ipac.caltech.edu/overview/WASP-102%20b
WASP-188 b,0.61,0.0742,,https://exoplanetarchive.ipac.caltech.edu/overview/WASP-188%20b
WASP-194 b,0.84,0.1007,,https://exoplanetarchive.ipac.caltech.edu/overview/WASP-194%20b
HD 72659 c,,,2.2,https://exoplanetarchive.ipac.caltech.edu/overview/HD%2072659%20c
HD 13724 c,,,,https://exoplanetarchive.ipac.caltech.edu/overview/HD%2013724%20c
TOI-178 d,0.485,0.03623,1.5,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-178%20d
TOI-5398 b,0.272,0.0899,7.5,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-5398%20b
HD 151450 c,,,,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20151450%20c
