,Parameter,Rs,Prot,cosi,incs,v,vsini
0,Median,1.4696766240542751,9.798790177730694,0.3543860472036128,69.24417866926856,7.589423256099181,6.931042116155279
1,Lower,0.01729611871335157,0.8357654679014797,0.2684978138545213,7.952843326658318,0.7315704187883343,0.6882042756160986
2,Upper,0.016097293826325965,0.8659836462896617,0.19925788600463867,20.257954516292926,0.589191096664921,0.8142448302207299
