System,st_teff,st_teff_uerr,st_teff_lerr,Pflag,pl_projobliq,pl_projobliq_uerr,pl_projobliq_lerr,st_psi,st_psi_uerr,st_psi_lerr,Author_string,Ephemeris_reference,pl_letter,st_name,tic_id,pl_ratdor,pl_ratdor_uerr,pl_ratdor_lerr,pl_bmassj,pl_bmassj_uerr,pl_bmassj_lerr,pl_orbeccen,pl_orbeccen_uerr,pl_orbeccen_lerr,st_mass,st_mass_uerr,st_mass_lerr,st_radius,st_radius_uerr,st_radius_lerr,st_mratio,st_mratio_uerr,st_mratio_lerr,Binary,Ref_link,controversial,pl_projobliqabs,pl_projobliqabs_uerr,pl_projobliqabs_lerr
CoRoT-02,5598,50,50,n,4.7,12.3,12.3,-999.0,-999.0,-999.0,Nutzmann_et_al._(2011),https://ui.adsabs.harvard.edu/abs/2011ApJ...740L..10N/abstract,b,CoRoT-02,TIC 391958006,6.7,0.03,0.03,3.47,0.22,0.22,0.0143,0.0077,0.0076,0.96,0.08,0.08,0.906,0.026,0.027,0.0034424603174603,0.0002182539682539,0.0002182539682539,1,[Nutzmann_et_al._(2011)](https://ui.adsabs.harvard.edu/link_gateway/2011ApJ...740L..10N/abstract),0,4.7,12.3,12.3
CoRoT-02,5598,50,50,n,-1.0,6.0,7.7,-999.0,-999.0,-999.0,Czesla_et_al._(2012),https://ui.adsabs.harvard.edu/abs/2012A+A...539A.150C/abstract,b,CoRoT-02,TIC 391958006,6.7,0.03,0.03,3.47,0.22,0.22,0.0143,0.0077,0.0076,0.96,0.08,0.08,0.906,0.026,0.027,0.0034424603174603,0.0002182539682539,0.0002182539682539,1,[Czesla_et_al._(2012)](https://ui.adsabs.harvard.edu/link_gateway/2012A+A...539A.150C/abstract),0,1.0,7.7,6.0
CoRoT-02,5598,50,50,n,4.0,5.9,6.1,-999.0,-999.0,-999.0,Gillon_et_al._(2010),https://ui.adsabs.harvard.edu/abs/2010A+A...511A...3G/abstract,b,CoRoT-02,TIC 391958006,6.7,0.03,0.03,3.47,0.22,0.22,0.0143,0.0077,0.0076,0.96,0.08,0.08,0.906,0.026,0.027,0.0034424603174603,0.0002182539682539,0.0002182539682539,1,[Gillon_et_al._(2010)](https://ui.adsabs.harvard.edu/link_gateway/2010A+A...511A...3G/abstract),0,4.0,5.9,6.1
CoRoT-03,6558,44,44,y,-37.6,22.3,10.0,-999.0,-999.0,-999.0,Triaud_et_al._(2009),https://ui.adsabs.harvard.edu/abs/2009A+A...506..377T/abstract,b,CoRoT-03,TIC 392353449,7.8,0.4,0.4,21.66,1.0,1.0,0.0,,,1.37,0.09,0.09,1.56,0.09,0.09,0.0150573514077163,0.0006951685783802,0.0006951685783802,0,[Triaud_et_al._(2009)](https://ui.adsabs.harvard.edu/link_gateway/2009A+A...506..377T/abstract),0,37.60000000000002,10.0,22.3
CoRoT-11,6343,72,72,y,0.1,2.6,2.6,-999.0,-999.0,-999.0,Gandolfi_et_al._(2012),https://ui.adsabs.harvard.edu/abs/2012A+A...543L...5G/abstract,b,CoRoT-11,TIC 110178537,6.89,0.08,0.08,2.33,0.34,0.34,0.0,,,1.27,0.05,0.05,1.37,0.03,0.03,0.0017472815898012,0.0002549681289838,0.0002549681289838,1,[Gandolfi_et_al._(2012)](https://ui.adsabs.harvard.edu/link_gateway/2012A+A...543L...5G/abstract),0,0.1,2.6,2.6
CoRoT-18,5440,100,100,y,-10.0,20.0,20.0,20.0,20.0,20.0,H&eacute;brard_et_al._(2011),https://ui.adsabs.harvard.edu/abs/2011A+A...533A.130H/abstract,b,CoRoT-18,TIC 37168957,6.35,0.4,0.4,3.47,0.38,0.38,0.08,,,0.861,0.061,0.061,0.883,0.025,0.031,0.0038382832807919,0.0004203307339195,0.0004203307339195,0,[H&eacute;brard_et_al._(2011)](https://ui.adsabs.harvard.edu/link_gateway/2011A+A...533A.130H/abstract),0,10.0,20.0,20.0
CoRoT-19,6090,70,70,y,-52.0,27.0,22.0,-999.0,-999.0,-999.0,Guenther_et_al._(2012),https://ui.adsabs.harvard.edu/abs/2012A+A...537A.136G/abstract,b,CoRoT-19,TIC 42821097,6.7,0.1,0.1,1.11,0.06,0.06,0.047,0.045,0.045,1.21,0.05,0.05,1.65,0.04,0.04,0.0008736717827626,4.722550177095632e-05,4.722550177095632e-05,0,[Guenther_et_al._(2012)](https://ui.adsabs.harvard.edu/link_gateway/2012A+A...537A.136G/abstract),1,52.0,22.0,27.0
CoRoT-36,6730,140,140,y,275.8,11.3,11.3,-999.0,-999.0,-999.0,Sebastian_et_al._(2022),https://ui.adsabs.harvard.edu/abs/2022MNRAS.516..636S/abstract,b,CoRoT-36,TIC 405004589,,,,0.68,0.47,0.43,0.0,,,1.32,0.09,0.09,1.52,0.2,0.1,0.0004906204906204,0.0003391053391053,0.0003102453102453,0,[Sebastian_et_al._(2022)](https://ui.adsabs.harvard.edu/link_gateway/2022MNRAS.516..636S/abstract),0,84.19999999999999,11.3,11.3
DS_Tuc,5598,28,59,y,2.93,0.88,0.87,-999.0,-999.0,-999.0,Zhou_et_al._(2020),https://ui.adsabs.harvard.edu/abs/2020ApJ...892L..21Z/abstract,b,DS_Tuc,TIC 410214986,20.35,0.29,0.69,1.3,,,0.0,,,1.01,0.06,0.06,0.964,0.029,0.029,0.0012258368694012,,,1,[Zhou_et_al._(2020)](https://ui.adsabs.harvard.edu/link_gateway/2020ApJ...892L..21Z/abstract),0,2.93,0.88,0.87
DS_Tuc,5598,28,59,n,12.1,2.6,2.1,-999.0,-999.0,-999.0,Benatti_et_al._(2021),https://ui.adsabs.harvard.edu/abs/2021A+A...650A..66B/abstract,b,DS_Tuc,TIC 410214986,20.35,0.29,0.69,1.3,,,0.0,,,1.01,0.06,0.06,0.964,0.029,0.029,0.0012258368694012,,,1,[Benatti_et_al._(2021)](https://ui.adsabs.harvard.edu/link_gateway/2021A+A...650A..66B/abstract),0,12.1,2.6,2.1
GJ_0436,3416,54,54,n,72.0,33.0,24.0,80.0,21.0,18.0,Bourrier_et_al._(2018),https://ui.adsabs.harvard.edu/abs/2018Natur.553..477B/abstract,b,GJ_0436,TIC 138819293,13.73,0.46,0.43,0.07,0.007,0.007,0.13827,0.00018,0.00018,0.47,0.07,0.07,0.455,0.018,0.018,0.0001418439716312,1.4184397163120568e-05,1.4184397163120568e-05,0,[Bourrier_et_al._(2018)](https://ui.adsabs.harvard.edu/link_gateway/2018Natur.553..477B/abstract),0,72.0,33.0,24.0
GJ_0436,3416,54,54,y,114.0,23.0,17.0,103.0,13.0,12.0,Bourrier_et_al._(2022),https://ui.adsabs.harvard.edu/abs/2022A+A...663A.160B/abstract,b,GJ_0436,TIC 138819293,13.73,0.46,0.43,0.07,0.007,0.007,0.13827,0.00018,0.00018,0.47,0.07,0.07,0.455,0.018,0.018,0.0001418439716312,1.4184397163120568e-05,1.4184397163120568e-05,0,[Bourrier_et_al._(2022)](https://ui.adsabs.harvard.edu/link_gateway/2022A+A...663A.160B/abstract),0,114.0,23.0,17.0
GJ_3470,3725,54,54,y,101.0,29.0,14.0,97.0,16.0,11.0,Stef&aacute;nsson_et_al._(2022),https://ui.adsabs.harvard.edu/abs/2022ApJ...931L..15S/abstract,b,GJ_3470,TIC 19028197,13.98,0.2,0.28,0.04373407,0.0047195,0.0047195,0.017,0.016,0.012,0.497757,0.020347,0.020347,0.499698,0.014928,0.014928,8.367837165141873e-05,9.030032535477964e-06,9.030032535477964e-06,0,[Stef&aacute;nsson_et_al._(2022)](https://ui.adsabs.harvard.edu/link_gateway/2022ApJ...931L..15S/abstract),0,101.0,29.0,14.0
GPX-1,7000,200,200,y,6.9,10.0,10.0,-999.0,-999.0,-999.0,Giacalone_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2024AJ....168..189G/abstract,b,GPX-1,TIC 245392284,4.67,0.55,0.32,19.7,1.6,1.6,0.0,,,1.68,0.1,0.1,1.56,0.1,0.1,0.0111678004535147,0.000907029478458,0.000907029478458,0,[Giacalone_et_al._(2024)](https://ui.adsabs.harvard.edu/link_gateway/2024AJ....168..189G/abstract),0,6.9,10.0,10.0
HAT-P-01,5975,50,50,y,3.7,2.1,2.1,-999.0,-999.0,-999.0,Johnson_et_al._(2008),https://ui.adsabs.harvard.edu/abs/2008ApJ...686..649J/abstract,b,HAT-P-01,TIC 346338552,9.853,0.071,0.071,0.525,0.019,0.019,0.0,,,1.151,0.052,0.051,1.174,0.026,0.027,0.0004344048653344,1.5721318935914937e-05,1.5721318935914937e-05,1,[Johnson_et_al._(2008)](https://ui.adsabs.harvard.edu/link_gateway/2008ApJ...686..649J/abstract),0,3.7,2.1,2.1
HAT-P-02,6290,60,60,n,1.2,13.4,13.4,-999.0,-999.0,-999.0,Winn_et_al._(2007),https://ui.adsabs.harvard.edu/abs/2007ApJ...665L.167W/abstract,b,HAT-P-02,TIC 39903405,10.28,0.12,0.19,9.02,0.1,0.1,0.5172,0.0019,0.0019,1.33,0.03,0.03,1.39,0.09,0.09,0.0064590046544933,7.160759040458288e-05,7.160759040458288e-05,0,[Winn_et_al._(2007)](https://ui.adsabs.harvard.edu/link_gateway/2007ApJ...665L.167W/abstract),0,1.2,13.4,13.4
HAT-P-02,6290,60,60,y,0.2,12.2,12.5,-999.0,-999.0,-999.0,Loeillet_et_al._(2008),https://ui.adsabs.harvard.edu/abs/2008A+A...481..529L/abstract,b,HAT-P-02,TIC 39903405,10.28,0.12,0.19,9.02,0.1,0.1,0.5172,0.0019,0.0019,1.33,0.03,0.03,1.39,0.09,0.09,0.0064590046544933,7.160759040458288e-05,7.160759040458288e-05,0,[Loeillet_et_al._(2008)](https://ui.adsabs.harvard.edu/link_gateway/2008A+A...481..529L/abstract),0,0.2,12.2,12.5
HAT-P-02,6290,60,60,n,9.0,10.0,10.0,-999.0,-999.0,-999.0,Albrecht_et_al._(2012),https://ui.adsabs.harvard.edu/abs/2012ApJ...757...18A/abstract,b,HAT-P-02,TIC 39903405,10.28,0.12,0.19,9.02,0.1,0.1,0.5172,0.0019,0.0019,1.33,0.03,0.03,1.39,0.09,0.09,0.0064590046544933,7.160759040458288e-05,7.160759040458288e-05,0,[Albrecht_et_al._(2012)](https://ui.adsabs.harvard.edu/link_gateway/2012ApJ...757...18A/abstract),0,9.0,10.0,10.0
HAT-P-03,5190,80,80,y,21.2,8.7,8.7,-999.0,-999.0,-999.0,Mancini_et_al._(2018),https://ui.adsabs.harvard.edu/abs/2018A+A...613A..41M/abstract,b,HAT-P-03,TIC 311035838,10.05,0.5,0.5,0.65,0.11,0.11,0.0,,,1.06,0.28,0.28,0.87,0.06,0.06,0.0005840071877807,9.883198562443845e-05,9.883198562443845e-05,1,[Mancini_et_al._(2018)](https://ui.adsabs.harvard.edu/link_gateway/2018A+A...613A..41M/abstract),0,21.2,8.7,8.7
HAT-P-03,5190,80,80,n,-25.3,29.4,22.8,75.7,8.5,7.9,Bourrier_et_al._(2023),https://ui.adsabs.harvard.edu/abs/2023A+A...669A..63B/abstract,b,HAT-P-03,TIC 311035838,10.05,0.5,0.5,0.65,0.11,0.11,0.0,,,1.06,0.28,0.28,0.87,0.06,0.06,0.0005840071877807,9.883198562443845e-05,9.883198562443845e-05,1,[Bourrier_et_al._(2023)](https://ui.adsabs.harvard.edu/link_gateway/2023A+A...669A..63B/abstract),0,25.30000000000001,22.8,29.4
HAT-P-04,6036,46,46,y,-4.9,11.9,11.9,-999.0,-999.0,-999.0,Winn_et_al._(2011),https://ui.adsabs.harvard.edu/abs/2011AJ....141...63W/abstract,b,HAT-P-04,TIC 138294130,6.04,0.03,0.18,0.671,0.033,0.044,0.0,,,1.248,0.07,0.12,1.596,0.06,0.075,0.0005120573870573,2.5183150183150183e-05,3.357753357753358e-05,1,[Winn_et_al._(2011)](https://ui.adsabs.harvard.edu/link_gateway/2011AJ....141...63W/abstract),0,4.899999999999977,11.9,11.9
HAT-P-06,6570,80,80,n,166.0,10.0,10.0,-999.0,-999.0,-999.0,H&eacute;brard_et_al._(2011),https://ui.adsabs.harvard.edu/abs/2011A+A...527L..11H/abstract,b,HAT-P-06,TIC 176899385,7.73,0.34,0.34,1.32,0.3,0.3,0.0,,,1.79,0.6,0.6,1.62,0.17,0.17,0.0007023144453312,0.0001596169193934,0.0001596169193934,0,[H&eacute;brard_et_al._(2011)](https://ui.adsabs.harvard.edu/link_gateway/2011A+A...527L..11H/abstract),0,166.0,10.0,10.0
HAT-P-06,6570,80,80,y,165.0,6.0,6.0,-999.0,-999.0,-999.0,Albrecht_et_al._(2012),https://ui.adsabs.harvard.edu/abs/2012ApJ...757...18A/abstract,b,HAT-P-06,TIC 176899385,7.73,0.34,0.34,1.32,0.3,0.3,0.0,,,1.79,0.6,0.6,1.62,0.17,0.17,0.0007023144453312,0.0001596169193934,0.0001596169193934,0,[Albrecht_et_al._(2012)](https://ui.adsabs.harvard.edu/link_gateway/2012ApJ...757...18A/abstract),0,165.0,6.0,6.0
HAT-P-07,6310,15,15,n,182.5,9.4,9.4,94.6,5.5,3.0,Winn_et_al._(2009),https://ui.adsabs.harvard.edu/abs/2009ApJ...703L..99W/abstract,b,HAT-P-07,TIC 424865156,4.13,0.15,0.15,1.84,0.53,0.53,0.0,,,1.56,0.68,0.68,2.0,0.28,0.28,0.0011233211233211,0.0003235653235653,0.0003235653235653,1,[Winn_et_al._(2009)](https://ui.adsabs.harvard.edu/link_gateway/2009ApJ...703L..99W/abstract),0,177.5,9.4,9.4
HAT-P-07,6310,15,15,n,-132.6,10.5,16.3,-999.0,-999.0,-999.0,Narita_et_al._(2009),https://ui.adsabs.harvard.edu/abs/2009PASJ...61L..35N/abstract,b,HAT-P-07,TIC 424865156,4.13,0.15,0.15,1.84,0.53,0.53,0.0,,,1.56,0.68,0.68,2.0,0.28,0.28,0.0011233211233211,0.0003235653235653,0.0003235653235653,1,[Narita_et_al._(2009)](https://ui.adsabs.harvard.edu/link_gateway/2009PASJ...61L..35N/abstract),0,132.6,16.3,10.5
HAT-P-07,6310,15,15,n,155.0,37.0,37.0,-999.0,-999.0,-999.0,Albrecht_et_al._(2012),https://ui.adsabs.harvard.edu/abs/2012ApJ...757...18A/abstract,b,HAT-P-07,TIC 424865156,4.13,0.15,0.15,1.84,0.53,0.53,0.0,,,1.56,0.68,0.68,2.0,0.28,0.28,0.0011233211233211,0.0003235653235653,0.0003235653235653,1,[Albrecht_et_al._(2012)](https://ui.adsabs.harvard.edu/link_gateway/2012ApJ...757...18A/abstract),0,155.0,37.0,37.0
HAT-P-07,6310,15,15,y,220.3,8.2,9.3,115.0,19.0,16.0,Benomar_et_al._(2014),https://ui.adsabs.harvard.edu/abs/2014PASJ...66...94B/abstract,b,HAT-P-07,TIC 424865156,4.13,0.15,0.15,1.84,0.53,0.53,0.0,,,1.56,0.68,0.68,2.0,0.28,0.28,0.0011233211233211,0.0003235653235653,0.0003235653235653,1,[Benomar_et_al._(2014)](https://ui.adsabs.harvard.edu/link_gateway/2014PASJ...66...94B/abstract),0,139.7,9.3,8.2
HAT-P-07,6310,15,15,n,-999.0,-999.0,-999.0,97.0,14.0,14.0,Lund_et_al._(2014),https://ui.adsabs.harvard.edu/abs/2014A+A...570A..54L/abstract,b,HAT-P-07,TIC 424865156,4.13,0.15,0.15,1.84,0.53,0.53,0.0,,,1.56,0.68,0.68,2.0,0.28,0.28,0.0011233211233211,0.0003235653235653,0.0003235653235653,1,[Lund_et_al._(2014)](https://ui.adsabs.harvard.edu/link_gateway/2014A+A...570A..54L/abstract),0,999.0,-999.0,-999.0
HAT-P-07,6310,15,15,n,142.0,12.0,16.0,101.0,2.0,2.0,Masuda_(2015)_solution_1,https://ui.adsabs.harvard.edu/abs/2015ApJ...805...28M/abstract,b,HAT-P-07,TIC 424865156,4.13,0.15,0.15,1.84,0.53,0.53,0.0,,,1.56,0.68,0.68,2.0,0.28,0.28,0.0011233211233211,0.0003235653235653,0.0003235653235653,1,[Masuda_(2015)_solution_1](https://ui.adsabs.harvard.edu/link_gateway/2015ApJ...805...28M/abstract),0,142.0,12.0,16.0
HAT-P-07,6310,15,15,n,136.0,16.0,22.0,87.0,2.0,2.0,Masuda_(2015)_solution_2,https://ui.adsabs.harvard.edu/abs/2015ApJ...805...28M/abstract,b,HAT-P-07,TIC 424865156,4.13,0.15,0.15,1.84,0.53,0.53,0.0,,,1.56,0.68,0.68,2.0,0.28,0.28,0.0011233211233211,0.0003235653235653,0.0003235653235653,1,[Masuda_(2015)_solution_2](https://ui.adsabs.harvard.edu/link_gateway/2015ApJ...805...28M/abstract),0,136.0,16.0,22.0
HAT-P-07,6310,15,15,n,-999.0,-999.0,-999.0,116.4,30.2,14.7,Campante_et_al._(2016),https://ui.adsabs.harvard.edu/abs/2016ApJ...819...85C/abstract,b,HAT-P-07,TIC 424865156,4.13,0.15,0.15,1.84,0.53,0.53,0.0,,,1.56,0.68,0.68,2.0,0.28,0.28,0.0011233211233211,0.0003235653235653,0.0003235653235653,1,[Campante_et_al._(2016)](https://ui.adsabs.harvard.edu/link_gateway/2016ApJ...819...85C/abstract),0,999.0,-999.0,-999.0
